Linux 6.17.0-19-generic (prateek) 	29/03/26 	_x86_64_	(8 CPU)

05:18:26 PM IST  CPU    %usr   %nice    %sys %iowait    %irq   %soft  %steal  %guest  %gnice   %idle
05:18:44 PM IST    5  100.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00
05:18:44 PM IST    6  100.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00
05:18:44 PM IST    7    1.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00   99.00

05:18:44 PM IST  CPU    %usr   %nice    %sys %iowait    %irq   %soft  %steal  %guest  %gnice   %idle
05:18:45 PM IST  all   38.53    0.00    1.00    0.00    0.00    0.12    0.00    0.00    0.00   60.35
05:18:45 PM IST    0    0.00    0.00    5.05    0.00    0.00    1.01    0.00    0.00    0.00   93.94
05:18:45 PM IST    1   19.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00   81.00
05:18:45 PM IST    2    0.98    0.00    1.96    0.00    0.00    0.00    0.00    0.00    0.00   97.06
05:18:45 PM IST    3  100.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00
05:18:45 PM IST    4    1.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00   99.00
05:18:45 PM IST    5   86.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00   14.00
05:18:45 PM IST    6  100.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00
05:18:45 PM IST    7    1.98    0.00    0.99    0.00    0.00    0.00    0.00    0.00    0.00   97.03

05:18:45 PM IST  CPU    %usr   %nice    %sys %iowait    %irq   %soft  %steal  %guest  %gnice   %idle
05:18:46 PM IST  all   38.38    0.00    0.50    0.00    0.00    0.38    0.00    0.00    0.00   60.75
05:18:46 PM IST    0    0.00    0.00    3.00    0.00    0.00    2.00    0.00    0.00    0.00   95.00
05:18:46 PM IST    1  100.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00
05:18:46 PM IST    2    0.00    0.00    0.00    0.00    0.00    1.00    0.00    0.00    0.00   99.00
